"","connection","line"
"753","008821600/20160926/P7215","15"
"754","008821121/20160926/P7215","4"
"755","008814001/20160926/IC2028","124"
"756","008814001/20160926/S11978","124"
"757","008893401/20160926/L556","53"
"758","008811601/20160926/S86580","161"
"759","008811601/20160926/IC2129","161"
"760","008814308/20160926/S23757","96"
"761","008812047/20160926/S102078","50"
"762","008814373/20160926/S23757","96"
"763","008811536/20160926/S83978","161"
"764","008896115/20160926/P7009","89"
"765","008896115/20160926/P7009","89"
"766","008811510/20160926/S83978","161"
"767","008891009/20160926/IC1808","50A"
"768","8893013/20160926/L557","53"
"769","008892007/20160926/IC707","75"
"770","008892007/20160926/IC707","75"
"771","008812005/20160926/S83958","0"
"772","008811916/20160926/S83958","161"
"773","008811304/20160926/S83958","161"
"774","008811411/20160926/S83958","161"
"775","008821311/20160926/S11756","25"
"776","008821121/20160926/IC708","59"
"777","8892007/20160926/IC1532","50A"
"778","008814001/20160926/IC533","50"
"779","008832409/20160926/L2983","19"
"780","008819406/20160926/IC2633","25"
"781","008895760/20160926/S61583","90"
"782","008812005/20160926/IC2214","35"
"783","008812005/20160926/IC2214","35"
"784","008811916/20160926/IC2435","0"
"785","008833001/20160926/IC1514","36"
"786","008812005/20160926/S86563","161"
"787","008883311/20160926/IC3231","94"
"788","008833209/20160926/IC2210","35"
"789","008892007/20160926/IC715","75"
"790","008841400/20160926/IC1708","36"
"791","008821121/20160926/IC2616","35"
"792","008811189/20160926/IC3415","25"
"793","008822004/20160926/IC3415","25"
"794","008811189/20160926/IC3316","25"
"795","008812005/20160926/IC3316","25"
"796","008811007/20160926/P8802","0"
"797","8893401/20160926/L588","53"
"798","008833001/20160926/IC4139","53"
"799","008821717/20160926/IC4317","15"
"800","008821006/20160926/IC4317","4"
"801","008821121/20160926/IC4317","15"
"802","008821600/20160926/IC4317","15"
"803","008832458/20160926/IC4317","19"
"804","008832433/20160926/IC4317","19"
"805","008832409/20160926/IC4317","19"
"806","008814001/20160926/IC3239","96"
"807","008813003/20160926/IC3240","96"
"808","008833001/20160926/IC1540","36"
"809","008885001/20160926/IC3239","94"
"810","008813003/20160926/IC3640","50"
"811","008812211/20160926/S107016","0"
"812","008841525/20160926/L5268","34"
"813","008819406/20160926/IC2639","25"
"814","008811411/20160926/S86589","161"
"815","008812005/20160926/IC517","36"
"816","008821121/20160926/IC4319","15"
"817","008819406/20160926/IC3729","36"
"818","008821121/20160926/IC729","4"
"819","008896149/20160926/IC729","59"
"820","008841202/20160927/P7444","36"
"821","008841004/20160927/IC428","36"
"822","008831005/20160927/P7305","35"
"823","008814308/20160927/S61555","96"
"824","008833605/20160927/P7400","36"
"825","008833605/20160927/IC1529","36"
"826","008833605/20160927/P7302","36"
"827","008814308/20160927/S61555","96"
"828","008881166/20160927/P7802","96"
"829","008814308/20160927/S73457","96"
"830","008892007/20160927/IC1506","50"
"831","008814167/20160927/P7723","124"
"832","008893013/20160927/P7013","50"
"833","008833001/20160927/P7401","36"
"834","008833001/20160927/P7401","36"
"835","8893013/20160927/L557","53"
"836","008892007/20160927/IC1507","50"
"837","008821337/20160927/S11780","25"
"838","008821311/20160927/S11780","25"
"839","008822210/20160927/S11780","25"
"840","008812005/20160927/IC2409","0"
"841","008891009/20160927/IC2809","50A"
"842","008814001/20160927/S32282","89"
"843","008813003/20160927/S32282","89"
"844","008841004/20160927/IC535","36"
"845","008821311/20160927/S11984","25"
"846","008821311/20160927/S11984","25"
"847","8892007/20160927/IC533","50A"
"848","008814001/20160927/IC1712","36"
"849","008814001/20160927/IC1714","36"
"850","008892007/20160927/L786","75-73"
"851","008892007/20160927/L786","86"
"852","008813003/20160927/IC4515","25"
"853","008819406/20160927/2338","36"
"854","008812005/20160927/2338","0"
"855","008813003/20160927/2338","0"
"856","008814001/20160927/2338","50"
"857","008895802/20160927/2338","89"
"858","008895208/20160927/2338","89"
"859","008892601/20160927/2338","89"
"860","008896008/20160927/2338","66"
"861","008896800/20160927/2338","66"
"862","008812005/20160927/IC3316","25"
"863","008811189/20160927/S11988","25"
"864","008814001/20160927/S11988","0"
"865","008892007/20160927/IC515","53"
"866","008814001/20160927/IC515","0"
"867","008892007/20160927/IC416","50"
"868","008811189/20160927/IC3415","25"
"869","008822004/20160927/IC4538","25"
"870","008822004/20160927/IC4138","53"
"871","008812005/20160927/IC515","36"
"872","008812211/20160927/S102087","0"
"873","008814001/20160927/S11988","0"
"874","008894425/20160927/L2688","59"
"875","008814001/20160927/S23788","96"
"876","008821006/20160927/IC1839","59"
"877","008892007/20160927/IC539","50A"
"878","008814001/20160927/IC1718","0"
"879","008894748/20160927/IC1806","59"
"880","008894748/20160927/IC1806","59"
"881","008894748/20160927/P7291","59"
"882","008831807/20160927/IC1504","21"
"883","008831807/20160927/P7311","21"
"884","008821600/20160928/IC3430","25"
"885","008821600/20160928/IC4326","15"
"886","008811601/20160928/IC2105","161"
"887","008895091/20160928/S102055","50"
"888","008814167/20160928/S11757","124"
"889","008814308/20160928/S61555","96"
"890","008814308/20160928/IC3205","96"
"891","008811007/20160928/S61579","0"
"892","008814308/20160928/S73457","96"
"893","008814308/20160928/S23757","96"
"894","008894672/20160928/L2757","54"
"895","008811189/20160928/IC3328","25"
"896","008812005/20160928/S102058","0"
"897","008821337/20160928/S11956","25"
"898","008821246/20160928/S11956","25"
"899","008821147/20160928/S11983","25"
"900","008891009/20160928/IC2811","50A"
"901","008813003/20160928/IC3727","0"
"902","008811510/20160928/S83962","161"
"903","008831005/20160928/L2484","35"
"904","008843141/20160928/L4986","125"
"905","008813003/20160928/IC1514","36"
"906","008811007/20160928/S68574","96"
"907","008811007/20160928/S68574","0"
"908","008811213/20160928/S23787","36"
"909","008811130/20160928/S23787","25"
"910","008811007/20160928/S23787","0"
"911","008814001/20160928/S68574","96"
"912","008812005/20160928/S23787","0"
"913","008812005/20160928/P8903","0"
"914","008813003/20160928/P8903","0"
"915","008892007/20160928/IC539","50A"
"916","008892007/20160928/IC3641","75-73"
"917","008894201/20160928/IC3006","59"
"918","008822343/20160928/S11955","25"
"919","008812005/20160928/IC522","36"
"920","008822004/20160928/IC4122","53"
"921","008896008/20160929/P7008","89"
"922","008812120/20160929/S32278","60"
"923","008833001/20160929/IC1728","36"
"924","008831005/20160929/P7305","35"
"925","008833605/20160929/IC1729","36"
"926","008831401/20160929/P7305","35"
"927","008884350/20160929/P7864","97"
"928","008892007/20160929/IC706","75"
"929","008896149/20160929/IC706","75"
"930","008896008/20160929/IC706","69"
"931","008821717/20160929/IC4207","15"
"932","008814365/20160929/S23757","96"
"933","008883006/20160929/IC3707","96"
"934","008833001/20160929/P7303","36"
"935","008821121/20160929/IC4529","25"
"936","008821121/20160929/IC4529","25"
"937","008821006/20160929/IC1828","59"
"938","008895802/20160929/P7975","50"
"939","008894201/20160929/IC1807","59"
"940","008891009/20160929/IC1807","50A"
"941","008892007/20160929/IC1807","59"
"942","008893120/20160929/IC1807","59"
"943","008894748/20160929/IC1807","59"
"944","008821196/20160929/IC1807","52"
"945","008821121/20160929/IC1807","4"
"946","008813003/20160929/IC1718","36"
"947","008833001/20160929/IC1530","36"
"948","008812005/20160929/IC3429","96"
"949","008812005/20160929/IC3429","96"
"950","008819406/20160929/IC3631","36"
"951","008819406/20160929/IC3631","36"
"952","008833001/20160929/IC3631","36"
"953","008812005/20160929/IC3631","0"
"954","008813003/20160929/IC3631","0"
"955","008896008/20160929/IC709","69"
"956","008814308/20160929/S53558","96"
"957","008821857/20160929/L2857","16"
"958","008812005/20160929/IC2108","0"
"959","008821717/20160929/IC3431","15"
"960","008821121/20160929/IC4530","25"
"961","008891009/20160929/IC1809","50A"
"962","008895208/20160929/S32259","89"
"963","008813003/20160929/S32259","0"
"964","008895802/20160929/S32259","50"
"965","008812005/20160929/IC2831","50"
"966","008812005/20160929/S32283","0"
"967","008813003/20160929/S32283","0"
"968","008812005/20160929/IC510","36"
"969","008884004/20160929/IC1732","97"
"970","008884004/20160929/IC1732","97"
"971","008884319/20160929/IC1732","97"
"972","008884327/20160929/IC1732","97"
"973","008892007/20160929/IC3611","50"
"974","008812005/20160929/IC2011","25"
"975","008814001/20160929/P8741","96"
"976","008813003/20160929/IC415","36"
"977","008841004/20160929/L5287","34"
"978","008831005/20160929/IC2238","35"
"979","008831005/20160929/IC2238","35"
"980","008811510/20160929/S86565","161"
"981","008811601/20160929/S85666","161"
"982","008811601/20160929/S85666","161"
"983","008811528/20160929/S86565","161"
"984","008811536/20160929/S86565","161"
"985","008811544/20160929/S86565","161"
"986","008811601/20160929/S85666","161"
"987","008892007/20160929/IC537","50A"
"988","008812005/20160929/IC3316","25"
"989","008896735/20160929/IC737","69"
"990","008896008/20160929/IC2314","89"
"991","008812005/20160929/S32265","0"
"992","008812005/20160929/S32265","60"
"993","008812005/20160929/IC2417","0"
"994","008821006/20160929/IC4317","4"
"995","008821121/20160929/IC4317","15"
"996","008821600/20160929/IC4317","15"
"997","008821717/20160929/IC4317","15"
"998","008832458/20160929/IC4317","19"
"999","008812005/20160929/S83967","161"
"1000","008892007/20160929/P8999","75-73"
"1001","008863008/20160929/IC2138","161"
"1002","008892007/20160929/IC716","75"
"1003","008841004/20160929/IC5389","37"
"1004","008813003/20160929/IC9215","25"
"1005","008833050/20160929/IC3644","36"
"1006","008895802/20160929/IC3618","50"
"1007","008892635/20160929/P7962","86"
"1008","008892007/20160929/P7962","50"
"1009","008892080/20160929/P7962","75-73"
"1010","008892650/20160929/P7962","86"
"1011","008892643/20160929/P7962","86"
"1012","8892007/20160929/IC1819","59"
"1013","008814357/20160929/S23692","96"
"1014","008814357/20160929/S23692","96"
"1015","008813003/20160929/IC2220","35"
"1016","008833001/20160929/IC1507","36"
"1017","008883006/20160929/P7802","96"
"1018","008814258/20160930/S11757","124"
"1019","008844503/20160930/IC429","37"
"1020","008844008/20160930/IC429","37"
"1021","008844206/20160930/IC429","37"
"1022","008842002/20160930/IC429","37"
"1023","008841004/20160930/IC429","36"
"1024","008812005/20160930/P7305","0"
"1025","008821337/20160930/S11979","25"
"1026","008812005/20160930/IC3229","0"
"1027","008811221/20160930/S23778","36"
"1028","008833001/20160930/IC429","36"
"1029","008814001/20160930/IC3708","0"
"1030","008883006/20160930/IC3708","96"
"1031","008811916/20160930/IC2409","161"
"1032","008819406/20160930/IC2609","35"
"1033","008811304/20160930/S83980","0"
"1034","008814001/20160930/IC410","36"
"1035","008884350/20160930/IC1732","97"
"1036","008833001/20160930/L2886","16"
"1037","008821006/20160930/IC4535","25"
"1038","008831005/20160930/IC4335","15"
"1039","008812005/20160930/P8305","36"
"1040","008812005/20160930/IC2215","36"
"1041","008896008/20160930/IC735","59"
"1042","008812005/20160930/IC1513","36"
"1043","008812005/20160930/IC1513","36"
"1044","008812005/20160930/IC1513","36"
"1045","8893120/20160930/IC1815","59"
"1046","008812005/20160930/IC514","36"
"1047","008812005/20160930/P8400","36"
"1048","008831765/20160930/IC1540","36"
"1049","008811007/20160930/S68574","0"
"1050","008812005/20160930/P8444","36"
"1051","008833001/20160930/IC2937","16"
"1052","008833001/20160930/IC2937","35"
"1053","008821121/20160930/IC3137","25"
"1054","008814001/20160930/P8006","50"
"1055","008892007/20160930/IC715","75"
"1056","008813003/20160930/IC4515","0"
"1057","008812005/20160930/IC4515","25"
"1058","008822004/20160930/IC4515","25"
"1059","008821121/20160930/IC4515","4"
"1060","008813003/20160930/IC2838","0"
"1061","008833001/20160930/L2467","35"
"1062","008892007/20160930/IC716","75"
"1063","008812005/20160930/IC2016","25"
"1064","008822004/20160930/P8088","53"
"1065","008822608/20160930/P8390","54"
"1066","008822004/20160930/IC2613","35"
"1067","008831005/20160930/IC1512","21"
"1068","008833001/20160930/IC2617","35"
"1069","008821121/20160930/IC2918","16"
"1070","008833001/20160930/L2890","35"
"1071","008863008/20160930/IC2441","161"
"1072","008822004/20160930/IC4519","25"
"1073","008822004/20160930/IC4519","25"
"1074","008822004/20160930/IC4519","25"
"1075","008822004/20160930/IC4519","25"
"1076","008831005/20160930/IC1543","21"
"1077","008892106/20160930/IC3606","75-73"
"1078","008893559/20160930/IC2208","50"
"1079","008821006/20161001/IC611","4"
"1080","008821006/20161001/IC611","4"
"1081","008811601/20161001/S203063","139"
"1082","008811676/20161001/S85683","161"
"1083","8811601/20161001/S85682","140"
"1084","008822004/20161001/L2767","54"
"1085","008833001/20161002/IC530","36"
"1086","008811718/20161002/ICT6910","139"
"1087","008885001/20161002/IC3811","78"
"1088","008833001/20161002/IC536","36"
"1089","008895000/20161002/IC3613","50"
"1090","008833001/20161002/L2887","36"
"1091","008891009/20161002/IC1816","50A"
"1092","008891009/20161002/IC1816","50A"
"1093","008891009/20161002/IC1816","50A"
"1094","008895802/20161002/S61571","90"
"1095","008814258/20161002/IC2039","124"
"1096","008866001/20161002/IC2141",NA
"1097","008892007/20161002/L788","86"
"1098","008812120/20161002/S103866","60"
"1099","008812005/20161002/S11769","25"
"1100","008896008/20161002/IC2316","89"
"1101","008896008/20161002/IC2316","89"
"1102","008814001/20161002/IC517","0"
"1103","008892007/20161002/IC518","50"
"1104","008814001/20161002/IC519","0"
"1105","008831005/20161002/P8225","35"
"1106","008866001/20161002/P8621",NA
"1107","008811189/20161002/IC3308","25"
"1108","008831005/20161002/P8225","35"
"1109","008831005/20161002/P8225","35"
"1110","008814001/20161002/IC1540","0"
"1111","008833209/20161002/L2891","16"
"1112","008833209/20161002/L2891","16"
"1113","008821006/20161002/IC1842","4"
"1114","008821121/20161002/IC1842","52"
"1115","008894201/20161002/IC1830","59"
"1116","008893120/20161002/IC1830","59"
"1117","008892007/20161002/IC1830","50A"
"1118","008892007/20161002/IC1830","50A"
"1119","008895802/20161002/IC2319","50"
"1120","008833001/20161002/S93279","36"
"1121","008833001/20161002/P7302","36"
"1122","008833001/20161002/IC529","36"
"1123","008893401/20161003/L554","53"
"1124","008893401/20161003/L554","53"
"1125","008893401/20161003/L554","53"
"1126","008891009/20161003/L554","50A"
"1127","008896412/20161003/P7008","69"
"1128","008896008/20161003/IC3206","94"
"1129","008872009/20161003/IC4506","124"
"1130","008896412/20161003/P7008","69"
"1131","008896800/20161003/826","66"
"1132","008892205/20161003/7006","73"
"1133","008892007/20161003/7006","50"
"1134","008814266/20161003/S11756","124"
"1135","008814258/20161003/S11757","124"
"1136","008891009/20161003/IC506","50A"
"1137","008814209/20161003/IC4506","124"
"1138","008883808/20161003/S23656","96"
"1139","008814308/20161003/S53557","96"
"1140","008886009/20161003/L4856","90"
"1141","008831401/20161003/IC2229","35"
"1142","008895802/20161003/S37953","50"
"1143","008812005/20161003/IC429","0"
"1144","008891009/20161003/IC1808","50A"
"1145","008814308/20161003/S67574","96"
"1146","008892080/20161003/IC408","50A"
"1147","008814001/20161003/IC1730","96"
"1148","008814001/20161003/IC1730","96"
"1149","008833001/20161003/IC431","36"
"1150","008821238/20161003/IC3131","25"
"1151","008872009/20161003/IC4513","124"
"1152","008833001/20161003/IC434","36"
"1153","008863008/20161003/IC2137","161"
"1154","008813003/20161003/IC437","89"
"1155","008812005/20161003/P8444","36"
"1156","008814001/20161003/IC3238","96"
"1157","008871308/20161003/IC2037","124"
"1158","008812005/20161003/IC2215","36"
"1159","008813003/20161003/IC3116","25"
"1160","008813003/20161003/IC3116","25"
"1161","008813003/20161003/IC2137","0"
"1162","008892007/20161003/IC1817","59"
"1163","008891009/20161003/IC1817","50A"
"1164","008821071/20161003/IC3317","12"
"1165","008833001/20161003/IC2617","35"
"1166","008871100/20161004/IC4506","124"
"1167","008831401/20161004/P7305","35"
"1168","008833308/20161004/IC1529","36"
"1169","008833308/20161004/IC1529","36"
"1170","008814258/20161004/IC4506","124"
"1171","008895802/20161004/S102078","50"
"1172","008892007/20161004/P7008","50"
"1173","008821535/20161004/IC3328","12"
"1174","008841004/20161004/IC429","36"
"1175","008894151/20161004/P7013","50"
"1176","008896149/20161004/IC407","89"
"1177","008894151/20161004/P7013","50"
"1178","008891009/20161004/IC1807","50A"
"1179","008833001/20161004/IC1530","36"
"1180","008831005/20161004/IC1530","35"
"1181","008833001/20161004/P7401","36"
"1182","008833001/20161004/IC1731","36"
"1183","008894821/20161004/L2680","59"
"1184","008891009/20161004/IC1632","51"
"1185","008891009/20161004/IC1633","51"
"1186","008885001/20161004/L4887","78"
"1187","008892007/20161004/IC714","75"
"1188","008841004/20161004/IC437","36"
"1189","008811106/20161004/S53586","26"
"1190","008811106/20161004/S53586","26"
"1191","008811106/20161004/S53586","26"
"1192","008814308/20161004/S61587","94"
"1193","008811106/20161004/S53586","26"
"1194","008893120/20161004/IC715","59"
"1195","008813003/20161004/IC2037","124"
"1196","008896800/20161004/IC2338","66"
"1197","008813003/20161004/IC437","89"
"1198","008811106/20161004/S53586","26"
"1199","8893401/20161004/L588","53"
"1200","008813003/20161004/IC440","50"
"1201","008883113/20161004/IC3707","96"
"1202","008812005/20161004/IC2218","36"
"1203","008833209/20161004/IC2218","35"
"1204","008831401/20161004/IC2218","35"
"1205","008812005/20161004/IC2218","35"
"1206","008821006/20161004/IC1829","59"
"1207","008883311/20161005/S61556","94"
"1208","008891405/20161005/IC2807","51"
"1209","008814266/20161005/S11956","124"
"1210","008841202/20161005/P7444","36"
"1211","008896149/20161005/IC407","89"
"1212","008812005/20161005/IC429","0"
"1213","008833001/20161005/IC429","36"
"1214","008821147/20161005/S11980","25"
"1215","008833001/20161005/IC1530","36"
"1216","008812005/20161005/IC1530","0"
"1217","8893013/20161005/L557","53"
"1218","008814001/20161005/IC507","36"
"1219","008831005/20161005/IC1534","35"
"1220","008891140/20161005/IC1508","50A"
"1221","008821246/20161005/S11960","25"
"1222","008811510/20161005/S83962","161"
"1223","008814001/20161005/S23683","96"
"1224","008814373/20161005/S23683","96"
"1225","008814365/20161005/S23683","96"
"1226","008814357/20161005/S23683","96"
"1227","008814340/20161005/S23683","96"
"1228","008812005/20161005/IC1535","50"
"1229","008811601/20161005/S86585","161"
"1230","008811429/20161005/S86564","161"
"1231","8812005/20161005/IC1512","36"
"1232","8812005/20161005/IC1512","36"
"1233","008892007/20161005/IC4115","53"
"1234","008813003/20161005/S11788","124"
"1235","008813003/20161005/IC2039","124"
"1236","008821600/20161005/IC4220","15"
"1237","008812237/20161006/S102081","50"
"1238","008812047/20161006/IC3232","0"
"1239","008896008/20161006/IC407","75"
"1240","008842002/20161006/IC429","37"
"1241","008841004/20161006/IC429","36"
"1242","008833001/20161006/IC429","36"
"1243","008812005/20161006/IC429","0"
"1244","008813003/20161006/IC429","0"
"1245","008842002/20161006/IC429","36"
"1246","008833001/20161006/IC529","36"
"1247","008814308/20161006/IC3205","96"
"1248","008883006/20161006/IC3406","96"
"1249","008892007/20161006/P7008","50"
"1250","008814001/20161006/S23656","0"
"1251","008821147/20161006/S11779","25"
"1252","8892007/20161006/IC1506","50"
"1253","008814415/20161006/S53357","26"
"1254","008896149/20161006/IC407","89"
"1255","008812005/20161006/IC2831","0"
"1256","008833001/20161006/IC430","53"
"1257","008814001/20161006/IC1739","96"
"1258","008812005/20161006/S23659","36"
"1259","008812005/20161006/IC412","36"
"1260","008814456/20161006/S53564","161"
"1261","008821006/20161006/IC2915","4"
"1262","008811106/20161006/S53586","26"
"1263","008822004/20161006/IC2014","25"
"1264","008813003/20161006/IC2014","25"
"1265","008812005/20161006/P8444","36"
"1266","008833001/20161006/P8364","35"
"1267","008814001/20161006/IC3238","96"
"1268","008814001/20161006/S32288","89"
"1269","008814001/20161006/S32288","89"
"1270","008814001/20161006/S32288","89"
"1271","008812005/20161006/IC2215","35"
"1272","008812005/20161006/P8007","50A"
"1273","008812062/20161006/S103887","60"
"1274","008892007/20161006/IC3639","75-73"
"1275","008891009/20161006/IC1827","50A"
"1276","008892007/20161006/IC2839","50A"
"1277","008891009/20161006/IC1807","50A"
"1278","008833001/20161006/IC2618","35"
"1279","008831401/20161006/P7306","35"
"1280","008831401/20161006/IC2230","35"
"1281","008833134/20161006/S203057","139"
"1282","008812005/20161006/IC3241","0"
"1283","008841004/20161006/IC3812","37"
"1284","008882206/20161006/IC3812","118"
"1285","008811411/20161006/S83990","161"
"1286","008812005/20161006/IC3419","25"
"1287","008811411/20161006/S83990","161"
"1288","008892007/20161006/IC520","50"
"1289","008881166/20161006/IC3709","96"
"1290","008881166/20161006/IC3709","96"
"1291","008881166/20161006/IC3709","96"
"1292","008812005/20161006/IC3709","36"
"1293","008841004/20161006/IC5382","37"
"1294","008892452/20161006/IC3604","73"
"1295","008892452/20161006/P7006","73"
"1296","008892403/20161006/P7006","73"
"1297","008892205/20161006/P7006","73"
"1298","008892007/20161006/IC3603","50"
"1299","008833670/20161006/IC3603","36"
"1300","008814001/20161006/IC3603","0"
"1301","008819406/20161006/IC3603","36"
"1302","008891702/20161006/IC1807","50A"
"1303","008893559/20161006/IC3605","50"
"1304","008831005/20161007/IC2228","35"
"1305","008821071/20161007/IC3328","12"
"1306","008814167/20161007/S11956","124"
"1307","008814308/20161007/S61555","96"
"1308","008814464/20161007/S93257","26"
"1309","008844206/20161007/L5277","37"
"1310","008811601/20161007/S86556","161"
"1311","008811544/20161007/S86556","161"
"1312","008821337/20161007/S11979","25"
"1313","008821634/20161007/L2977","15"
"1314","008896149/20161007/IC407","89"
"1315","008896149/20161007/IC407","89"
"1316","008821337/20161007/S11979","25"
"1317","008831401/20161007/P7305","35"
"1318","008821337/20161007/S11979","25"
"1319","008811221/20161007/S93279","36"
"1320","008893013/20161007/P7013","50"
"1321","008883311/20161007/IC1929","94"
"1322","008822004/20161007/IC4107","53"
"1323","008811189/20161007/IC3429","25"
"1324","008811189/20161007/IC3328","25"
"1325","008822343/20161007/IC3335","25"
"1326","8895208/20161007/IC2306","89"
"1327","008892007/20161007/IC2808","50"
"1328","008881315/20161007/L4462","118"
"1329","008892007/20161007/IC1834","50A"
"1330","008814308/20161007/IC3236","94"
"1331","008814001/20161007/IC414","0"
"1332","008883311/20161007/IC3236","94"
"1333","008883436/20161007/IC3236","94"
"1334","008886009/20161007/IC3236","94"
"1335","008886009/20161007/IC3236","94"
"1336","008886348/20161007/IC3236","94"
"1337","008833001/20161007/IC1513","35"
"1338","008812005/20161007/IC3736","96"
"1339","008892007/20161007/IC415","50"
"1340","008883006/20161007/S23667","96"
"1341","008892007/20161007/IC516","53"
"1342","008811601/20161007/S203068","139"
"1343","008833001/20161007/IC1717","36"
"1344","008811676/20161007/S85688","161"
"1345","008892007/20161007/IC3638","75-73"
"1346","008814001/20161007/IC1739","96"
"1347","008893120/20161007/IC1818","59"
"1348","008896008/20161007/826","66"
"1349","008896800/20161007/826","66"
"1350","008891314/20161007/826","66"
"1351","008814001/20161007/IC3319","25"
"1352","008895638/20161007/S61569","123"
"1353","008814142/20161007/S11971","124"
"1354","008833001/20161007/IC545","36"
"1355","008841004/20161008/IC529","36"
"1356","008841004/20161008/IC529","36"
"1357","008841004/20161008/IC529","36"
"1358","008841004/20161008/IC2931","34"
"1359","008821121/20161008/IC9216","25"
"1360","008821121/20161008/IC9216","25"
"1361","008892007/20161008/IC1810","59"
"1362","008892007/20161008/IC712","69"
"1363","008841004/20161008/IC537","36"
"1364","008892106/20161008/P8900","53"
"1365","008883212/20161008/IC3317","96"
"1366","008883808/20161008/IC3317","96"
"1367","008883006/20161008/IC3317","96"
"1368","008821006/20161008/L2872","16"
"1369","008822004/20161008/IC3344","25"
"1370","008813003/20161008/IC3344","0"
"1371","008811221/20161008/IC1944","36"
"1372","008866001/20161008/IC2140","161"
"1373","008866001/20161008/IC2141","161"
"1374","008821238/20161009/IC3131","25"
"1375","008814001/20161009/IC1531","50"
"1376","008881000/20161009/IC3835","97"
"1377","008833001/20161009/IC537","50A"
"1378","008892320/20161009/IC12614","73"
"1379","008821535/20161009/L2588","12"
"1380","008812005/20161009/IC1541","0"
"1381","008896008/20161009/IC742","75"
"1382","008896008/20161009/IC742","75"
"1383","008841004/20161009/IC5383","34"
"1384","008813003/20161009/IC519","36"
"1385","008861549/20161009/L6278","161"
"1386","008814001/20161009/IC2123","161"
"1387","8813003/20161009/IC516","36"
"1388","008894201/20161010/IC3006","59"
"1389","008894201/20161010/IC706","59"
"1390","008833134/20161010/S203055","139"
"1391","008831005/20161010/IC1528","35"
"1392","008841202/20161010/P7444","36"
"1393","008842002/20161010/IC429","36"
"1394","008814258/20161010/S11757","124"
"1395","008821121/20161010/IC2606","25"
"1396","008814308/20161010/S23656","96"
"1397","008814357/20161010/S23656","96"
"1398","008811916/20161010/P7603","0"
"1399","008895836/20161010/S102056","50"
"1400","008896149/20161010/IC407","89"
"1401","008896149/20161010/407","75"
"1402","008833209/20161010/L2856","35"
"1403","008811536/20161010/S83978","161"
"1404","008821238/20161010/IC3328","25"
"1405","008811536/20161010/S83978","161"
"1406","8892007/20161010/IC506","53"
"1407","8892007/20161010/IC407","53"
"1408","8892007/20161010/IC407","50"
"1409","008833001/20161010/IC3631","36"
"1410","008896149/20161010/P7009","75"
"1411","008833001/20161010/IC429","36"
"1412","008833001/20161010/IC3631","36"
"1413","008891009/20161010/IC1808","50A"
"1414","008822004/20161010/ic2029","25"
"1415","008822269/20161010/S11779","25"
"1416","008822269/20161010/S11779","25"
"1417","008831401/20161010/IC2630","35"
"1418","008821311/20161010/S11756","25"
"1419","008821121/20161010/IC708","59"
"1420","008821519/20161010/IC3330","12"
"1421","008833001/20161010/IC3632","36"
"1422","008833209/20161010/L2459","35"
"1423","008833001/20161010/IC431","36"
"1424","008814001/20161010/IC3435","96"
"1425","008822004/20161010/S11759","25"
"1426","008822475/20161010/IC4134","53"
"1427","008883311/20161010/IC1915","94"
"1428","008831005/20161010/IC2638","35"
"1429","008814001/20161010/8011","50"
"1430","008813003/20161010/IC1514","36"
"1431","008813003/20161010/IC437","89"
"1432","008811106/20161010/S53586","26"
"1433","008811247/20161010/S23665","36"
"1434","008811247/20161010/S23665","36"
"1435","008811247/20161010/S23665","36"
"1436","008811247/20161010/S23665","36"
"1437","008833001/20161010/IC1515","35"
"1438","008833001/20161010/P8302","36"
"1439","008813003/20161010/IC437","0"
"1440","008892007/20161010/IC437","75-73"
"1441","008814001/20161010/IC1739","96"
"1442","008813003/20161010/IC1738","96"
"1443","008812005/20161010/IC2216","36"
"1444","008814001/20161010/IC2839","50"
"1445","008863008/20161010/IC2417","125"
"1446","008833001/20161010/S203089","139"
"1447","008892007/20161010/IC1840","50A"
"1448","008821121/20161010/IC4528","25"
"1449","008896370/20161011/P7008","89"
"1450","008833308/20161011/IC3630","36"
"1451","008821006/20161011/1828","4"
"1452","008821121/20161011/1828","52"
"1453","008821196/20161011/1828","59"
"1454","008881000/20161011/IC3706","96"
"1455","008831401/20161011/P7305","35"
"1456","008831765/20161011/IC1530","21"
"1457","008896149/20161011/407","75"
"1458","008896149/20161011/IC407","89"
"1459","008892007/20161011/IC1506","50"
"1460","008833209/20161011/IC2229","36"
"1461","008831005/20161011/IC2629","35"
"1462","008833001/20161011/IC3631","36"
"1463","008819406/20161011/IC3631","36"
"1464","008812005/20161011/IC3631","0"
"1465","008895505/20161011/7966","122"
"1466","008895505/20161011/7966","122"
"1467","008895570/20161011/7966","122"
"1468","008895208/20161011/7966","122"
"1469","008813003/20161011/IC429","50"
"1470","008893120/20161011/IC1808","59"
"1471","008893120/20161011/IC1808","59"
"1472","8892007/20161011/IC2808","50"
"1473","008814001/20161011/P7722","0"
"1474","008811189/20161011/IC3431","25"
"1475","008891009/20161011/IC511","50A"
"1476","008892007/20161011/IC1812","59"
"1477","008813003/20161011/IC1533","50"
"1478","008891702/20161011/IC1813","50A"
"1479","8892007/20161011/IC2808","50"
"1480","8812005/20161011/IC535","50"
"1481","008863008/20161011/IC936","130"
"1482","008892007/20161011/L564","53"
"1483","008811601/20161011/S83965","161"
