"","connection","date","time","from","to","vehicle","occupancy","line","from.station","from.name","from.longitude","from.latitude","from.avg_stop_times","from.prov","from.count","from.groups","from.k","from.maxcount","from.maj_groups","from.major_hub","from.non_hub","to.station","to.name","to.longitude","to.latitude","to.avg_stop_times","to.prov","to.count","to.groups","to.k","to.maxcount","to.maj_groups","to.major_hub","to.non_hub","occ_binary","date_time","hour","min","min_of_day","day_of_week","dist_morning_rush","dist_evening_rush","dist_rush","from_bruss","to_bruss","to_from_bruss","vehicle_type","nr_of_stops","temperature","humidity","windspeed","visibility","weather_type","to_from_maj_hub","in_group","in_group_maj","tf_avg_stop","tf_count","to.Hainut","to.VlaamsBrabant","from.Hainut","from.VlaamsBrabant","line7573","line66","line12"
"118","008821006/20160802/IC4237",2016-08-02,"05:02:57 PM","008821006","008821121","IC4237","low","l.4","008821006","Antwerpen-Centraal",4.421101,51.2172,467.98265895954,"Antwerpen",334,"g8","k = 11",334,"mg5","Y","N","008821121","Antwerpen-Berchem",4.432221,51.19923,421.64450867052,"Antwerpen",322,"g8","k = 11",334,"mg5","Y","N","0",2016-08-02 17:00:00,17,0,1020,"Tuesday",9,1,1,"N","N","N","IC",6,17,94,20,7,"wt.296","Y","Y","Y",444.81358381503,328,"N","N","N","N","N","N","N"
"119","008821006/20160802/IC4237",2016-08-02,"05:02:57 PM","008821006","008821121","IC4237","low","l.4","008821006","Antwerpen-Centraal",4.421101,51.2172,467.98265895954,"Antwerpen",334,"g8","k = 11",334,"mg5","Y","N","008821121","Antwerpen-Berchem",4.432221,51.19923,421.64450867052,"Antwerpen",322,"g8","k = 11",334,"mg5","Y","N","0",2016-08-02 17:00:00,17,0,1020,"Tuesday",9,1,1,"N","N","N","IC",6,17,94,20,7,"wt.296","Y","Y","Y",444.81358381503,328,"N","N","N","N","N","N","N"
"120","008821121/20160802/IC4237",2016-08-02,"05:03:03 PM","008821121","008821600","IC4237","low","l.15","008821121","Antwerpen-Berchem",4.432221,51.19923,421.64450867052,"Antwerpen",322,"g8","k = 11",334,"mg5","Y","N","008821600","Lier",4.560614,51.135758,154.41329479769,"Antwerpen",98,"g3","k = 11",300,"mg1","N","N","0",2016-08-02 17:00:00,17,0,1020,"Tuesday",9,1,1,"N","N","N","IC",6,17,94,20,7,"wt.296","Y","N","N",288.028901734105,210,"N","N","N","N","N","N","N"
"121","008821121/20160802/IC4237",2016-08-02,"05:03:03 PM","008821121","008821600","IC4237","low","l.15","008821121","Antwerpen-Berchem",4.432221,51.19923,421.64450867052,"Antwerpen",322,"g8","k = 11",334,"mg5","Y","N","008821600","Lier",4.560614,51.135758,154.41329479769,"Antwerpen",98,"g3","k = 11",300,"mg1","N","N","0",2016-08-02 17:00:00,17,0,1020,"Tuesday",9,1,1,"N","N","N","IC",6,17,94,20,7,"wt.296","Y","N","N",288.028901734105,210,"N","N","N","N","N","N","N"
"122","008821600/20160802/IC4237",2016-08-02,"05:03:08 PM","008821600","008821717","IC4237","low","l.15","008821600","Lier",4.560614,51.135758,154.41329479769,"Antwerpen",98,"g3","k = 11",300,"mg1","N","N","008821717","Herentals",4.829535,51.181513,101.30924855491,"Antwerpen",62,"g3","k = 11",300,"mg1","N","N","0",2016-08-02 17:00:00,17,0,1020,"Tuesday",9,1,1,"N","N","N","IC",6,18,93,19,7,"wt.296","N","Y","Y",127.8612716763,80,"N","N","N","N","N","N","N"
"123","008821600/20160802/IC4237",2016-08-02,"05:03:08 PM","008821600","008821717","IC4237","low","l.15","008821600","Lier",4.560614,51.135758,154.41329479769,"Antwerpen",98,"g3","k = 11",300,"mg1","N","N","008821717","Herentals",4.829535,51.181513,101.30924855491,"Antwerpen",62,"g3","k = 11",300,"mg1","N","N","0",2016-08-02 17:00:00,17,0,1020,"Tuesday",9,1,1,"N","N","N","IC",6,18,93,19,7,"wt.296","N","Y","Y",127.8612716763,80,"N","N","N","N","N","N","N"
"124","008821964/20160802/IC4237",2016-08-02,"05:30:18 PM","008821964","008821907","IC4237","low","l.other","008821964","Tielen",4.893089,51.241021,48.526011560694,"Antwerpen",33,"g3","k = 11",300,"mg3","N","N","008821907","Turnhout",4.937415,51.322032,48.526011560694,"Antwerpen",33,"g3","k = 11",300,"mg3","N","N","0",2016-08-02 18:00:00,18,0,1080,"Tuesday",10,0,0,"N","N","N","IC",6,16,94,18,4,"wt.266","N","Y","Y",48.526011560694,33,"N","N","N","N","N","N","N"
"125","008821964/20160802/IC4237",2016-08-02,"05:30:18 PM","008821964","008821907","IC4237","low","l.other","008821964","Tielen",4.893089,51.241021,48.526011560694,"Antwerpen",33,"g3","k = 11",300,"mg3","N","N","008821907","Turnhout",4.937415,51.322032,48.526011560694,"Antwerpen",33,"g3","k = 11",300,"mg3","N","N","0",2016-08-02 18:00:00,18,0,1080,"Tuesday",10,0,0,"N","N","N","IC",6,16,94,18,4,"wt.266","N","Y","Y",48.526011560694,33,"N","N","N","N","N","N","N"
"126","8821907/20160802/IC4216",2016-08-03,"12:34:14 AM","008821907","008814001","IC4216","high","l.27","008821907","Turnhout",4.937415,51.322032,48.526011560694,"Antwerpen",33,"g3","k = 11",300,"mg3","N","N","008814001","Brussel-Zuid/Bruxelles-Midi",4.336531,50.835707,686.61560693642,"Bruxelles",660,"g9","k = 11",660,"mg5","Y","N","1",2016-08-03 01:00:00,1,0,60,"Wednesday",7,9,7,"N","Y","Y","IC",6,18,96,16,2,"wt.266","Y","N","N",367.570809248557,346.5,"N","N","N","N","N","N","N"
"127","8821907/20160802/IC4216",2016-08-03,"12:34:14 AM","008821907","008814001","IC4216","high","l.27","008821907","Turnhout",4.937415,51.322032,48.526011560694,"Antwerpen",33,"g3","k = 11",300,"mg3","N","N","008814001","Brussel-Zuid/Bruxelles-Midi",4.336531,50.835707,686.61560693642,"Bruxelles",660,"g9","k = 11",660,"mg5","Y","N","1",2016-08-03 01:00:00,1,0,60,"Wednesday",7,9,7,"N","Y","Y","IC",6,18,96,16,2,"wt.266","Y","N","N",367.570809248557,346.5,"N","N","N","N","N","N","N"
"128","8821907/20160802/IC4216",2016-08-03,"12:34:56 AM","008821907","008814001","IC4216","high","l.27","008821907","Turnhout",4.937415,51.322032,48.526011560694,"Antwerpen",33,"g3","k = 11",300,"mg3","N","N","008814001","Brussel-Zuid/Bruxelles-Midi",4.336531,50.835707,686.61560693642,"Bruxelles",660,"g9","k = 11",660,"mg5","Y","N","1",2016-08-03 01:00:00,1,0,60,"Wednesday",7,9,7,"N","Y","Y","IC",6,18,96,16,2,"wt.266","Y","N","N",367.570809248557,346.5,"N","N","N","N","N","N","N"
"129","8821907/20160802/IC4216",2016-08-03,"12:34:56 AM","008821907","008814001","IC4216","high","l.27","008821907","Turnhout",4.937415,51.322032,48.526011560694,"Antwerpen",33,"g3","k = 11",300,"mg3","N","N","008814001","Brussel-Zuid/Bruxelles-Midi",4.336531,50.835707,686.61560693642,"Bruxelles",660,"g9","k = 11",660,"mg5","Y","N","1",2016-08-03 01:00:00,1,0,60,"Wednesday",7,9,7,"N","Y","Y","IC",6,18,96,16,2,"wt.266","Y","N","N",367.570809248557,346.5,"N","N","N","N","N","N","N"
"130","8831765/20160803/IC1537",2016-08-03,"02:15:45 PM","008831765","008814001","IC1537","low","l.36","008831765","Genk",5.497685,50.967057,39.476878612717,"Limburg",41,"g5","k = 11",132,"mg3","N","N","008814001","Brussel-Zuid/Bruxelles-Midi",4.336531,50.835707,686.61560693642,"Bruxelles",660,"g9","k = 11",660,"mg5","Y","N","0",2016-08-03 14:00:00,14,0,840,"Wednesday",6,4,4,"N","Y","Y","IC",16,19,93,19,8,"wt.302","Y","N","N",363.046242774568,350.5,"N","N","N","N","N","N","N"
"131","8831765/20160803/IC1537",2016-08-03,"02:15:45 PM","008831765","008814001","IC1537","low","l.36","008831765","Genk",5.497685,50.967057,39.476878612717,"Limburg",41,"g5","k = 11",132,"mg3","N","N","008814001","Brussel-Zuid/Bruxelles-Midi",4.336531,50.835707,686.61560693642,"Bruxelles",660,"g9","k = 11",660,"mg5","Y","N","0",2016-08-03 14:00:00,14,0,840,"Wednesday",6,4,4,"N","Y","Y","IC",16,19,93,19,8,"wt.302","Y","N","N",363.046242774568,350.5,"N","N","N","N","N","N","N"
"132","008821907/20160804/IC4209",2016-08-04,"09:30:09 AM","008821907","008821964","IC4209","low","l.other","008821907","Turnhout",4.937415,51.322032,48.526011560694,"Antwerpen",33,"g3","k = 11",300,"mg3","N","N","008821964","Tielen",4.893089,51.241021,48.526011560694,"Antwerpen",33,"g3","k = 11",300,"mg3","N","N","0",2016-08-04 10:00:00,10,0,600,"Thursday",2,8,2,"N","N","N","IC",6,19,83,21,10,"wt.176","N","Y","Y",48.526011560694,33,"N","N","N","N","N","N","N"
"133","008821964/20160804/IC4209",2016-08-04,"09:43:08 AM","008821964","008821717","IC4209","low","l.other","008821964","Tielen",4.893089,51.241021,48.526011560694,"Antwerpen",33,"g3","k = 11",300,"mg3","N","N","008821717","Herentals",4.829535,51.181513,101.30924855491,"Antwerpen",62,"g3","k = 11",300,"mg1","N","N","0",2016-08-04 10:00:00,10,0,600,"Thursday",2,8,2,"N","N","N","IC",6,19,83,21,10,"wt.176","N","Y","N",74.917630057802,47.5,"N","N","N","N","N","N","N"
"134","008821717/20160804/IC4209",2016-08-04,"09:43:13 AM","008821717","008821600","IC4209","low","l.15","008821717","Herentals",4.829535,51.181513,101.30924855491,"Antwerpen",62,"g3","k = 11",300,"mg1","N","N","008821600","Lier",4.560614,51.135758,154.41329479769,"Antwerpen",98,"g3","k = 11",300,"mg1","N","N","0",2016-08-04 10:00:00,10,0,600,"Thursday",2,8,2,"N","N","N","IC",6,19,81,21,10,"wt.122","N","Y","Y",127.8612716763,80,"N","N","N","N","N","N","N"
"135","008821600/20160804/IC4209",2016-08-04,"10:04:46 AM","008821600","008821121","IC4209","low","l.15","008821600","Lier",4.560614,51.135758,154.41329479769,"Antwerpen",98,"g3","k = 11",300,"mg1","N","N","008821121","Antwerpen-Berchem",4.432221,51.19923,421.64450867052,"Antwerpen",322,"g8","k = 11",334,"mg5","Y","N","0",2016-08-04 10:00:00,10,0,600,"Thursday",2,8,2,"N","N","N","IC",6,19,81,21,10,"wt.122","Y","N","N",288.028901734105,210,"N","N","N","N","N","N","N"
"136","008821196/20160804/IC1831",2016-08-04,"10:19:44 AM","008821196","008894748","IC1831","low","l.59","008821196","Antwerpen-Zuid",4.390259,51.197828,71.193641618497,"Antwerpen",54,"g8","k = 11",334,"mg3","N","N","008894748","Beveren",4.25952,51.208336,48.208092485549,"Oost-Vlaanderen",41,"g8","k = 11",334,"mg3","N","N","0",2016-08-04 10:00:00,10,0,600,"Thursday",2,8,2,"N","N","N","IC",10,19,81,22,10,"wt.176","N","Y","Y",59.700867052023,47.5,"N","N","N","N","N","N","N"
"137","008894508/20160804/IC1831",2016-08-04,"10:34:25 AM","008894508","008894201","IC1831","medium","l.59","008894508","Sint-Niklaas",4.142966,51.171472,127.5838150289,"Oost-Vlaanderen",108,"g8","k = 11",334,"mg1","N","N","008894201","Lokeren",3.987794,51.108062,103.95664739884,"Oost-Vlaanderen",98,"g8","k = 11",334,"mg1","N","N","0",2016-08-04 11:00:00,11,0,660,"Thursday",3,7,3,"N","N","N","IC",10,19,74,21,10,"wt.176","N","Y","Y",115.77023121387,103,"N","N","N","N","N","N","N"
"138","008894201/20160804/IC1831",2016-08-04,"10:43:27 AM","008894201","008893120","IC1831","medium","l.59","008894201","Lokeren",3.987794,51.108062,103.95664739884,"Oost-Vlaanderen",98,"g8","k = 11",334,"mg1","N","N","008893120","Gent-Dampoort",3.740591,51.056365,80.534682080925,"Oost-Vlaanderen",85,"g2","k = 11",343,"mg1","N","N","0",2016-08-04 11:00:00,11,0,660,"Thursday",3,7,3,"N","N","N","IC",10,19,74,21,10,"wt.176","N","N","Y",92.2456647398825,91.5,"N","N","N","N","N","N","N"
"139","008893120/20160804/IC1831",2016-08-04,"10:57:38 AM","008893120","008892007","IC1831","medium","l.59","008893120","Gent-Dampoort",3.740591,51.056365,80.534682080925,"Oost-Vlaanderen",85,"g2","k = 11",343,"mg1","N","N","008892007","Gent-Sint-Pieters",3.710675,51.035896,309.01445086705,"Oost-Vlaanderen",343,"g2","k = 11",343,"mg5","Y","N","0",2016-08-04 11:00:00,11,0,660,"Thursday",3,7,3,"N","N","N","IC",10,20,71,21,10,"wt.176","Y","Y","N",194.774566473988,214,"N","N","N","N","N","N","N"
"140","008892007/20160804/IC1831",2016-08-04,"11:09:56 AM","008892007","008891009","IC1831","medium","l.50A","008892007","Gent-Sint-Pieters",3.710675,51.035896,309.01445086705,"Oost-Vlaanderen",343,"g2","k = 11",343,"mg5","Y","N","008891009","Brugge",3.216726,51.197226,164.41907514451,"West-Vlaanderen",183,"g11","k = 11",183,"mg1","N","N","0",2016-08-04 11:00:00,11,0,660,"Thursday",3,7,3,"N","N","N","IC",10,20,71,21,10,"wt.176","Y","N","N",236.71676300578,263,"N","N","N","N","N","N","N"
"141","008891009/20160804/IC1831",2016-08-04,"11:35:55 AM","008891009","008891702","IC1831","medium","l.50A","008891009","Brugge",3.216726,51.197226,164.41907514451,"West-Vlaanderen",183,"g11","k = 11",183,"mg1","N","N","008891702","Oostende",2.925809,51.228212,59.895953757225,"West-Vlaanderen",84,"g11","k = 11",183,"mg1","N","N","0",2016-08-04 12:00:00,12,0,720,"Thursday",4,6,4,"N","N","N","IC",10,19,61,19,10,"wt.353","N","Y","Y",112.157514450867,133.5,"N","N","N","N","N","N","N"
"142","008891702/20160804/IC512",2016-08-04,"12:52:05 PM","008891702","008891009","IC512","low","l.50A","008891702","Oostende",2.925809,51.228212,59.895953757225,"West-Vlaanderen",84,"g11","k = 11",183,"mg1","N","N","008891009","Brugge",3.216726,51.197226,164.41907514451,"West-Vlaanderen",183,"g11","k = 11",183,"mg1","N","N","0",2016-08-04 13:00:00,13,0,780,"Thursday",5,5,5,"N","N","N","IC",12,20,68,26,9,"wt.176","N","Y","Y",112.157514450867,133.5,"N","N","N","N","N","N","N"
"143","008892007/20160804/IC512",2016-08-04,"01:19:49 PM","008892007","008814001","IC512","low","l.50","008892007","Gent-Sint-Pieters",3.710675,51.035896,309.01445086705,"Oost-Vlaanderen",343,"g2","k = 11",343,"mg5","Y","N","008814001","Brussel-Zuid/Bruxelles-Midi",4.336531,50.835707,686.61560693642,"Bruxelles",660,"g9","k = 11",660,"mg5","Y","N","0",2016-08-04 13:00:00,13,0,780,"Thursday",5,5,5,"N","Y","Y","IC",12,21,62,21,10,"wt.353","Y","N","Y",497.815028901735,501.5,"N","N","N","N","N","N","N"
"144","008814001/20160804/IC512",2016-08-04,"01:56:34 PM","008814001","008813003","IC512","low","l.0","008814001","Brussel-Zuid/Bruxelles-Midi",4.336531,50.835707,686.61560693642,"Bruxelles",660,"g9","k = 11",660,"mg5","Y","N","008813003","Brussel-Centraal/Bruxelles-Central",4.356801,50.845658,634.16473988439,"Bruxelles",641,"g9","k = 11",660,"mg5","Y","N","0",2016-08-04 14:00:00,14,0,840,"Thursday",6,4,4,"Y","Y","Y","IC",12,20,72,23,10,"wt.176","Y","Y","Y",660.390173410405,650.5,"N","N","N","N","N","N","N"
"145","008812005/20160804/IC512",2016-08-04,"02:07:15 PM","008812005","008833001","IC512","low","l.36","008812005","Brussel-Noord/Bruxelles-Nord",4.360846,50.859663,640.26589595376,"Bruxelles",645,"g9","k = 11",660,"mg5","Y","N","008833001","Leuven",4.715866,50.88228,351.9161849711,"Vlaams Brabant",300,"g3","k = 11",300,"mg5","Y","N","0",2016-08-04 14:00:00,14,0,840,"Thursday",6,4,4,"Y","N","Y","IC",12,20,72,23,10,"wt.176","Y","N","Y",496.09104046243,472.5,"N","Y","N","N","N","N","N"
"146","8812070/20160804/S103857",2016-08-04,"02:17:22 PM","008812070","008812013","S103857","low","l.60","008812070","Asse",4.207985,50.906488,38.589595375723,"Vlaams Brabant",36,"g8","k = 11",334,"mg3","N","N","008812013","Simonis",4.32898,50.863645,19.433526011561,"Bruxelles",22,"g9","k = 11",660,"mg4","N","N","0",2016-08-04 14:00:00,14,0,840,"Thursday",6,4,4,"N","N","N","S",28,20,72,23,10,"wt.176","N","N","N",29.011560693642,29,"N","N","N","Y","N","N","N"
"147","008833001/20160804/IC512",2016-08-04,"02:27:46 PM","008833001","008841004","IC512","low","l.36","008833001","Leuven",4.715866,50.88228,351.9161849711,"Vlaams Brabant",300,"g3","k = 11",300,"mg5","Y","N","008841004","Liège-Guillemins",5.566695,50.62455,269.12427745665,"Liège",119,"g6","k = 11",119,"mg1","N","N","0",2016-08-04 14:00:00,14,0,840,"Thursday",6,4,4,"N","N","N","IC",12,20,71,21,10,"wt.176","Y","N","N",310.520231213875,209.5,"N","N","N","Y","N","N","N"
"148","008841004/20160804/IC538",2016-08-04,"04:20:24 PM","008841004","008833001","IC538","low","l.36","008841004","Liège-Guillemins",5.566695,50.62455,269.12427745665,"Liège",119,"g6","k = 11",119,"mg1","N","N","008833001","Leuven",4.715866,50.88228,351.9161849711,"Vlaams Brabant",300,"g3","k = 11",300,"mg5","Y","N","0",2016-08-04 16:00:00,16,0,960,"Thursday",8,2,2,"N","N","N","IC",11,20,74,17,10,"wt.116","Y","N","N",310.520231213875,209.5,"N","Y","N","N","N","N","N"
"149","008833001/20160804/IC2937",2016-08-04,"04:33:32 PM","008833001","008833233","IC2937","low","l.35","008833001","Leuven",4.715866,50.88228,351.9161849711,"Vlaams Brabant",300,"g3","k = 11",300,"mg5","Y","N","008833233","Wezemaal",4.747679,50.956261,66.71676300578,"Vlaams Brabant",49,"g3","k = 11",300,"mg3","N","N","0",2016-08-04 17:00:00,17,0,1020,"Thursday",9,1,1,"N","N","N","IC",7,20,73,17,9,"wt.176","Y","Y","N",209.31647398844,174.5,"N","Y","N","Y","N","N","N"
"150","008833233/20160804/IC2937",2016-08-04,"04:49:02 PM","008833233","008833209","IC2937","low","l.35","008833233","Wezemaal",4.747679,50.956261,66.71676300578,"Vlaams Brabant",49,"g3","k = 11",300,"mg3","N","N","008833209","Aarschot",4.824043,50.984406,123.80057803468,"Vlaams Brabant",110,"g3","k = 11",300,"mg1","N","N","0",2016-08-04 17:00:00,17,0,1020,"Thursday",9,1,1,"N","N","N","IC",7,20,73,17,9,"wt.176","N","Y","N",95.25867052023,79.5,"N","Y","N","Y","N","N","N"
"151","008833209/20160804/IC2937",2016-08-04,"04:50:59 PM","008833209","008821832","IC2937","low","l.16","008833209","Aarschot",4.824043,50.984406,123.80057803468,"Vlaams Brabant",110,"g3","k = 11",300,"mg1","N","N","008821832","Heist-op-den-Berg",4.708235,51.074146,53.060693641618,"Antwerpen",36,"g3","k = 11",300,"mg3","N","N","0",2016-08-04 17:00:00,17,0,1020,"Thursday",9,1,1,"N","N","N","IC",7,20,73,17,9,"wt.176","N","Y","N",88.430635838149,73,"N","N","N","Y","N","N","N"
"152","8892007/20160804/IC3605",2016-08-04,"05:12:07 PM","008892007","008814001","IC3605","medium","l.50","008892007","Gent-Sint-Pieters",3.710675,51.035896,309.01445086705,"Oost-Vlaanderen",343,"g2","k = 11",343,"mg5","Y","N","008814001","Brussel-Zuid/Bruxelles-Midi",4.336531,50.835707,686.61560693642,"Bruxelles",660,"g9","k = 11",660,"mg5","Y","N","0",2016-08-04 17:00:00,17,0,1020,"Thursday",9,1,1,"N","Y","Y","IC",28,21,63,18,9,"wt.176","Y","N","Y",497.815028901735,501.5,"N","N","N","N","N","N","N"
"153","008821832/20160804/IC2937",2016-08-04,"05:12:58 PM","008821832","008821600","IC2937","low","l.16","008821832","Heist-op-den-Berg",4.708235,51.074146,53.060693641618,"Antwerpen",36,"g3","k = 11",300,"mg3","N","N","008821600","Lier",4.560614,51.135758,154.41329479769,"Antwerpen",98,"g3","k = 11",300,"mg1","N","N","0",2016-08-04 17:00:00,17,0,1020,"Thursday",9,1,1,"N","N","N","IC",7,21,71,17,9,"wt.176","N","Y","N",103.736994219654,67,"N","N","N","N","N","N","N"
"154","008821600/20160804/IC2937",2016-08-04,"05:13:03 PM","008821600","008821121","IC2937","low","l.15","008821600","Lier",4.560614,51.135758,154.41329479769,"Antwerpen",98,"g3","k = 11",300,"mg1","N","N","008821121","Antwerpen-Berchem",4.432221,51.19923,421.64450867052,"Antwerpen",322,"g8","k = 11",334,"mg5","Y","N","0",2016-08-04 17:00:00,17,0,1020,"Thursday",9,1,1,"N","N","N","IC",7,21,71,17,9,"wt.176","Y","N","N",288.028901734105,210,"N","N","N","N","N","N","N"
"155","008821600/20160804/IC3415",2016-08-04,"05:22:59 PM","008821600","008821717","IC3415","medium","l.15","008821600","Lier",4.560614,51.135758,154.41329479769,"Antwerpen",98,"g3","k = 11",300,"mg1","N","N","008821717","Herentals",4.829535,51.181513,101.30924855491,"Antwerpen",62,"g3","k = 11",300,"mg1","N","N","0",2016-08-04 17:00:00,17,0,1020,"Thursday",9,1,1,"N","N","N","IC",17,21,71,17,9,"wt.176","N","Y","Y",127.8612716763,80,"N","N","N","N","N","N","N"
"156","008821717/20160804/IC3415",2016-08-04,"06:44:08 PM","008821717","008821964","IC3415","low","l.other","008821717","Herentals",4.829535,51.181513,101.30924855491,"Antwerpen",62,"g3","k = 11",300,"mg1","N","N","008821964","Tielen",4.893089,51.241021,48.526011560694,"Antwerpen",33,"g3","k = 11",300,"mg3","N","N","0",2016-08-04 19:00:00,19,0,1140,"Thursday",11,1,1,"N","N","N","IC",17,20,77,14,10,"wt.176","N","Y","N",74.917630057802,47.5,"N","N","N","N","N","N","N"
"157","008821964/20160804/IC3415",2016-08-04,"06:44:13 PM","008821964","008821907","IC3415","low","l.other","008821964","Tielen",4.893089,51.241021,48.526011560694,"Antwerpen",33,"g3","k = 11",300,"mg3","N","N","008821907","Turnhout",4.937415,51.322032,48.526011560694,"Antwerpen",33,"g3","k = 11",300,"mg3","N","N","0",2016-08-04 19:00:00,19,0,1140,"Thursday",11,1,1,"N","N","N","IC",17,20,79,13,10,"wt.353","N","Y","Y",48.526011560694,33,"N","N","N","N","N","N","N"
"158","8833001/20160805/L2461",2016-08-05,"12:06:32 PM","008833001","008832250","L2461","low","l.35","008833001","Leuven",4.715866,50.88228,351.9161849711,"Vlaams Brabant",300,"g3","k = 11",300,"mg5","Y","N","008832250","Zolder",5.3299,51.033548,28.393063583815,"Limburg",3,"g5","k = 11",132,"mg2","N","Y","0",2016-08-05 12:00:00,12,0,720,"Friday",4,6,4,"N","N","N","L",9,21,71,18,10,"wt.353","Y","N","N",190.154624277457,151.5,"N","N","N","Y","N","N","N"
"159","8832250/20160807/IC4433",2016-08-07,"12:37:09 PM","008832250","008821006","IC4433","low","l.15","008832250","Zolder",5.3299,51.033548,28.393063583815,"Limburg",3,"g5","k = 11",132,"mg2","N","Y","008821006","Antwerpen-Centraal",4.421101,51.2172,467.98265895954,"Antwerpen",334,"g8","k = 11",334,"mg5","Y","N","0",2016-08-07 13:00:00,13,0,780,"Sunday",5,5,5,"N","N","N","IC",15,24,64,17,10,"wt.116","Y","N","N",248.187861271677,168.5,"N","N","N","N","N","N","N"
"160","8832433/20160807/IC4333",2016-08-07,"01:20:21 PM","008832433","008821006","IC4333","medium","l.15","008832433","Geel",4.988608,51.168955,45.528901734104,"Antwerpen",28,"g3","k = 11",300,"mg4","N","N","008821006","Antwerpen-Centraal",4.421101,51.2172,467.98265895954,"Antwerpen",334,"g8","k = 11",334,"mg5","Y","N","0",2016-08-07 13:00:00,13,0,780,"Sunday",5,5,5,"N","N","N","IC",11,22,72,18,10,"wt.122","Y","N","N",256.755780346822,181,"N","N","N","N","N","N","N"
"161","8872009/20160807/IC3935",2016-08-07,"04:09:26 PM","008872009","008872009","IC3935","low","l.118","008872009","Charleroi-Sud",4.438567,50.40471,213.74566473988,"Hainaut",79,"g10","k = 11",97,"mg1","N","N","008872009","Charleroi-Sud",4.438567,50.40471,213.74566473988,"Hainaut",79,"g10","k = 11",97,"mg1","N","N","0",2016-08-07 16:00:00,16,0,960,"Sunday",8,2,2,"N","N","N","IC",6,22,75,15,10,"wt.353","N","Y","Y",213.74566473988,79,"Y","N","Y","N","N","N","N"
"164","008821907/20160808/IC3432",2016-08-08,"10:21:37 AM","008821907","008821964","IC3432","low","l.other","008821907","Turnhout",4.937415,51.322032,48.526011560694,"Antwerpen",33,"g3","k = 11",300,"mg3","N","N","008821964","Tielen",4.893089,51.241021,48.526011560694,"Antwerpen",33,"g3","k = 11",300,"mg3","N","N","0",2016-08-08 10:00:00,10,0,600,"Monday",2,8,2,"N","N","N","IC",17,19,82,20,2,"wt.266","N","Y","Y",48.526011560694,33,"N","N","N","N","N","N","N"
"165","008821964/20160808/IC3432",2016-08-08,"10:21:42 AM","008821964","008821717","IC3432","low","l.other","008821964","Tielen",4.893089,51.241021,48.526011560694,"Antwerpen",33,"g3","k = 11",300,"mg3","N","N","008821717","Herentals",4.829535,51.181513,101.30924855491,"Antwerpen",62,"g3","k = 11",300,"mg1","N","N","0",2016-08-08 10:00:00,10,0,600,"Monday",2,8,2,"N","N","N","IC",17,19,82,20,2,"wt.266","N","Y","N",74.917630057802,47.5,"N","N","N","N","N","N","N"
"166","008821717/20160808/IC3432",2016-08-08,"10:21:53 AM","008821717","008821600","IC3432","low","l.15","008821717","Herentals",4.829535,51.181513,101.30924855491,"Antwerpen",62,"g3","k = 11",300,"mg1","N","N","008821600","Lier",4.560614,51.135758,154.41329479769,"Antwerpen",98,"g3","k = 11",300,"mg1","N","N","0",2016-08-08 10:00:00,10,0,600,"Monday",2,8,2,"N","N","N","IC",17,19,80,19,10,"wt.176","N","Y","Y",127.8612716763,80,"N","N","N","N","N","N","N"
"167","008821600/20160808/IC3432",2016-08-08,"10:40:13 AM","008821600","008822004","IC3432","low","l.25","008821600","Lier",4.560614,51.135758,154.41329479769,"Antwerpen",98,"g3","k = 11",300,"mg1","N","N","008822004","Mechelen",4.482785,51.017648,306.52312138728,"Antwerpen",253,"g3","k = 11",300,"mg5","Y","N","0",2016-08-08 11:00:00,11,0,660,"Monday",3,7,3,"N","N","N","IC",17,20,80,19,10,"wt.176","Y","Y","N",230.468208092485,175.5,"N","N","N","N","N","N","N"
"168","008822004/20160808/IC3432",2016-08-08,"11:23:18 AM","008822004","008811189","IC3432","low","l.25","008822004","Mechelen",4.482785,51.017648,306.52312138728,"Antwerpen",253,"g3","k = 11",300,"mg5","Y","N","008811189","Vilvoorde",4.432823,50.924583,130.41329479769,"Vlaams Brabant",116,"g9","k = 11",660,"mg1","N","N","0",2016-08-08 11:00:00,11,0,660,"Monday",3,7,3,"N","N","N","IC",17,20,79,19,10,"wt.176","Y","N","N",218.468208092485,184.5,"N","Y","N","N","N","N","N"
"169","008811189/20160808/IC3432",2016-08-08,"11:23:23 AM","008811189","008812005","IC3432","low","l.25","008811189","Vilvoorde",4.432823,50.924583,130.41329479769,"Vlaams Brabant",116,"g9","k = 11",660,"mg1","N","N","008812005","Brussel-Noord/Bruxelles-Nord",4.360846,50.859663,640.26589595376,"Bruxelles",645,"g9","k = 11",660,"mg5","Y","N","0",2016-08-08 11:00:00,11,0,660,"Monday",3,7,3,"N","Y","Y","IC",17,20,81,19,10,"wt.176","Y","Y","N",385.339595375725,380.5,"N","N","N","Y","N","N","N"
