"","occ_binary","line","hour","day_of_week","dist_rush","to_from_bruss","vehicle_type","nr_of_stops","temperature","humidity","windspeed","visibility","weather_type","from.avg_stop_times","from.prov","from.count","from.groups","from.maxcount","from.maj_groups","from.major_hub","from.non_hub","to.avg_stop_times","to.prov","to.count","to.groups","to.maxcount","to.maj_groups","to.major_hub","to.non_hub","to_from_maj_hub","tf_avg_stop","tf_count","to.Hainut","to.VlaamsBrabant","from.Hainut","from.VlaamsBrabant","line7573","line66","line12","in_group","in_group_maj"
"452","H","l.25",8,"Monday",0,"Y","IC",9,16,70,3,10,"wt.116",306.52312138728,"Antwerpen",253,"g3",300,"mg5","Y","N",686.61560693642,"Bruxelles",660,"g9",660,"mg5","Y","N","Y",496.56936416185,456.5,"N","N","N","N","N","N","N","N","Y"
"453","L","l.25",8,"Monday",0,"Y","IC",9,16,70,3,10,"wt.116",306.52312138728,"Antwerpen",253,"g3",300,"mg5","Y","N",686.61560693642,"Bruxelles",660,"g9",660,"mg5","Y","N","Y",496.56936416185,456.5,"N","N","N","N","N","N","N","N","Y"
"454","L","l.25",8,"Monday",0,"Y","P",15,16,70,3,10,"wt.116",306.52312138728,"Antwerpen",253,"g3",300,"mg5","Y","N",686.61560693642,"Bruxelles",660,"g9",660,"mg5","Y","N","Y",496.56936416185,456.5,"N","N","N","N","N","N","N","N","Y"
"455","L","l.0",8,"Monday",0,"Y","IC",19,15,72,4,10,"wt.116",640.26589595376,"Bruxelles",645,"g9",660,"mg5","Y","N",95.676300578035,"Bruxelles",63,"g9",660,"mg1","N","N","Y",367.971098265898,354,"N","N","N","N","N","N","N","Y","N"
"456","H","l.36",8,"Monday",0,"Y","IC",16,16,71,3,10,"wt.116",351.9161849711,"Vlaams Brabant",300,"g3",300,"mg5","Y","N",640.26589595376,"Bruxelles",645,"g9",660,"mg5","Y","N","Y",496.09104046243,472.5,"N","N","N","Y","N","N","N","N","Y"
"457","L","l.94",8,"Monday",0,"Y","IC",20,15,77,2,10,"wt.119",57.187861271676,"Hainaut",66,"g1",152,"mg1","N","N",640.26589595376,"Bruxelles",645,"g9",660,"mg5","Y","N","Y",348.726878612718,355.5,"N","N","Y","N","N","N","N","N","N"
"458","H","l.15",8,"Monday",0,"N","IC",6,16,71,3,10,"wt.113",101.30924855491,"Antwerpen",62,"g3",300,"mg1","N","N",154.41329479769,"Antwerpen",98,"g3",300,"mg1","N","N","N",127.8612716763,80,"N","N","N","N","N","N","N","Y","Y"
"459","L","l.94",8,"Monday",0,"Y","IC",20,15,77,2,10,"wt.119",57.187861271676,"Hainaut",66,"g1",152,"mg1","N","N",686.61560693642,"Bruxelles",660,"g9",660,"mg5","Y","N","Y",371.901734104048,363,"N","N","Y","N","N","N","N","N","N"
"460","L","l.15",8,"Monday",0,"N","IC",6,16,71,3,10,"wt.113",101.30924855491,"Antwerpen",62,"g3",300,"mg1","N","N",154.41329479769,"Antwerpen",98,"g3",300,"mg1","N","N","N",127.8612716763,80,"N","N","N","N","N","N","N","Y","Y"
"461","H","l.15",8,"Monday",0,"N","IC",6,16,71,3,10,"wt.113",101.30924855491,"Antwerpen",62,"g3",300,"mg1","N","N",154.41329479769,"Antwerpen",98,"g3",300,"mg1","N","N","N",127.8612716763,80,"N","N","N","N","N","N","N","Y","Y"
"462","H","l.60",8,"Monday",0,"Y","S",26,16,70,1,10,"wt.116",38.589595375723,"Vlaams Brabant",36,"g8",334,"mg3","N","N",640.26589595376,"Bruxelles",645,"g9",660,"mg5","Y","N","Y",339.427745664742,340.5,"N","N","N","Y","N","N","N","N","N"
"464","H","l.60",8,"Monday",0,"N","S",26,15,72,4,10,"wt.116",38.589595375723,"Vlaams Brabant",36,"g8",334,"mg3","N","N",95.676300578035,"Bruxelles",63,"g9",660,"mg1","N","N","N",67.132947976879,49.5,"N","N","N","Y","N","N","N","N","N"
"465","L","l.50",8,"Monday",0,"Y","IC",8,16,69,2,10,"wt.116",309.01445086705,"Oost-Vlaanderen",343,"g2",343,"mg5","Y","N",686.61560693642,"Bruxelles",660,"g9",660,"mg5","Y","N","Y",497.815028901735,501.5,"N","N","N","N","N","N","N","N","Y"
"466","L","l.25",8,"Monday",0,"N","IC",14,16,72,3,10,"wt.113",64.893063583815,"Antwerpen",40,"g8",334,"mg3","N","N",31.939306358382,"Antwerpen",34,"g8",334,"mg3","N","N","N",48.4161849710985,37,"N","N","N","N","N","N","N","Y","Y"
"467","H","l.25",8,"Monday",0,"N","IC",14,16,72,3,10,"wt.113",64.893063583815,"Antwerpen",40,"g8",334,"mg3","N","N",31.939306358382,"Antwerpen",34,"g8",334,"mg3","N","N","N",48.4161849710985,37,"N","N","N","N","N","N","N","Y","Y"
"468","H","l.36",9,"Monday",1,"Y","IC",21,17,67,3,10,"wt.113",351.9161849711,"Vlaams Brabant",300,"g3",300,"mg5","Y","N",634.16473988439,"Bruxelles",641,"g9",660,"mg5","Y","N","Y",493.040462427745,470.5,"N","N","N","Y","N","N","N","N","Y"
"469","H","l.36",9,"Monday",1,"Y","IC",21,17,67,3,10,"wt.113",351.9161849711,"Vlaams Brabant",300,"g3",300,"mg5","Y","N",640.26589595376,"Bruxelles",645,"g9",660,"mg5","Y","N","Y",496.09104046243,472.5,"N","N","N","Y","N","N","N","N","Y"
"470","L","l.0",9,"Monday",1,"Y","IC",21,16,67,3,10,"wt.113",640.26589595376,"Bruxelles",645,"g9",660,"mg5","Y","N",634.16473988439,"Bruxelles",641,"g9",660,"mg5","Y","N","Y",637.215317919075,643,"N","N","N","N","N","N","N","Y","Y"
"471","L","l.96",9,"Monday",1,"Y","IC",17,16,67,3,10,"wt.113",686.61560693642,"Bruxelles",660,"g9",660,"mg5","Y","N",182.09826589595,"Vlaams Brabant",139,"g9",660,"mg1","N","N","Y",434.356936416185,399.5,"N","Y","N","N","N","N","N","Y","N"
"472","L","l.124",12,"Monday",4,"Y","IC",11,18,56,5,10,"wt.116",686.61560693642,"Bruxelles",660,"g9",660,"mg5","Y","N",213.74566473988,"Hainaut",79,"g10",97,"mg1","N","N","Y",450.18063583815,369.5,"Y","N","N","N","N","N","N","N","N"
"473","L","l.50",13,"Monday",5,"Y","IC",16,19,52,6,10,"wt.116",686.61560693642,"Bruxelles",660,"g9",660,"mg5","Y","N",164.41907514451,"West-Vlaanderen",183,"g11",183,"mg1","N","N","Y",425.517341040465,421.5,"N","N","N","N","N","N","N","N","N"
"474","L","l.25",13,"Monday",5,"Y","IC",8,20,51,6,10,"wt.119",171.02023121387,"Vlaams Brabant",173,"g9",660,"mg1","N","N",306.52312138728,"Antwerpen",253,"g3",300,"mg5","Y","N","Y",238.771676300575,213,"N","N","N","Y","N","N","N","N","N"
"475","L","l.25",13,"Monday",5,"N","IC",8,20,49,5,10,"wt.119",306.52312138728,"Antwerpen",253,"g3",300,"mg5","Y","N",421.64450867052,"Antwerpen",322,"g8",334,"mg5","Y","N","Y",364.0838150289,287.5,"N","N","N","N","N","N","N","N","Y"
"476","L","l.4",13,"Monday",5,"N","IC",8,20,49,4,10,"wt.119",421.64450867052,"Antwerpen",322,"g8",334,"mg5","Y","N",467.98265895954,"Antwerpen",334,"g8",334,"mg5","Y","N","Y",444.81358381503,328,"N","N","N","N","N","N","N","Y","Y"
"477","L","l.50A",16,"Monday",2,"N","IC",11,20,52,7,10,"wt.122",309.01445086705,"Oost-Vlaanderen",343,"g2",343,"mg5","Y","N",164.41907514451,"West-Vlaanderen",183,"g11",183,"mg1","N","N","Y",236.71676300578,263,"N","N","N","N","N","N","N","N","N"
"478","L","l.36",16,"Monday",2,"Y","IC",21,21,53,9,10,"wt.119",640.26589595376,"Bruxelles",645,"g9",660,"mg5","Y","N",50.841040462428,"Liège",32,"g6",119,"mg3","N","N","Y",345.553468208094,338.5,"N","N","N","N","N","N","N","N","N"
"479","L","l.96",16,"Monday",2,"Y","P",12,21,53,9,10,"wt.119",640.26589595376,"Bruxelles",645,"g9",660,"mg5","Y","N",88.511560693642,"Hainaut",50,"g7",63,"mg3","N","N","Y",364.388728323701,347.5,"Y","N","N","N","N","N","N","N","N"
"480","L","l.94",16,"Monday",2,"N","P",20,20,54,8,10,"wt.122",35.127167630058,"Hainaut",42,"g1",152,"mg3","N","N",66.294797687861,"Hainaut",49,"g1",152,"mg3","N","N","N",50.7109826589595,45.5,"Y","N","Y","N","N","N","N","Y","Y"
"481","L","l.36",17,"Monday",1,"Y","IC",21,20,57,9,10,"wt.119",640.26589595376,"Bruxelles",645,"g9",660,"mg5","Y","N",50.841040462428,"Liège",32,"g6",119,"mg3","N","N","Y",345.553468208094,338.5,"N","N","N","N","N","N","N","N","N"
"482","H","l.94",17,"Monday",1,"N","P",20,19,60,8,10,"wt.122",66.294797687861,"Hainaut",49,"g1",152,"mg3","N","N",35.083815028902,"Hainaut",42,"g7",63,"mg3","N","N","N",50.6893063583815,45.5,"Y","N","Y","N","N","N","N","N","Y"
"483","L","l.25",17,"Monday",1,"N","IC",14,20,56,9,10,"wt.119",130.41329479769,"Vlaams Brabant",116,"g9",660,"mg1","N","N",421.64450867052,"Antwerpen",322,"g8",334,"mg5","Y","N","Y",276.028901734105,219,"N","N","N","Y","N","N","N","N","N"
"484","L","l.59",17,"Monday",1,"N","L",13,20,60,5,10,"wt.122",101.87283236994,"Oost-Vlaanderen",100,"g8",334,"mg1","N","N",39.118497109827,"Oost-Vlaanderen",27,"g8",334,"mg4","N","N","N",70.4956647398835,63.5,"N","N","N","N","N","N","N","Y","N"
"485","L","l.53",17,"Monday",1,"N","IC",13,20,56,7,10,"wt.119",306.52312138728,"Antwerpen",253,"g3",300,"mg5","Y","N",101.87283236994,"Oost-Vlaanderen",100,"g8",334,"mg1","N","N","Y",204.19797687861,176.5,"N","N","N","N","N","N","N","N","N"
"486","L","l.0",17,"Monday",1,"Y","S",20,20,57,9,10,"wt.119",640.26589595376,"Bruxelles",645,"g9",660,"mg5","Y","N",634.16473988439,"Bruxelles",641,"g9",660,"mg5","Y","N","Y",637.215317919075,643,"N","N","N","N","N","N","N","Y","Y"
"487","H","l.0",17,"Monday",1,"Y","S",20,20,57,9,10,"wt.119",640.26589595376,"Bruxelles",645,"g9",660,"mg5","Y","N",21.736994219653,"Vlaams Brabant",16,"g1",152,"mg4","N","N","Y",331.001445086706,330.5,"N","Y","N","N","N","N","N","N","N"
"488","H","l.36",17,"Monday",1,"Y","IC",17,20,57,9,10,"wt.119",640.26589595376,"Bruxelles",645,"g9",660,"mg5","Y","N",123.80057803468,"Vlaams Brabant",110,"g3",300,"mg1","N","N","Y",382.03323699422,377.5,"N","Y","N","N","N","N","N","N","N"
"489","L","l.94",17,"Monday",1,"N","P",20,19,60,8,10,"wt.122",35.083815028902,"Hainaut",42,"g7",63,"mg3","N","N",109.78901734104,"Hainaut",55,"g7",63,"mg3","N","N","N",72.436416184971,48.5,"Y","N","Y","N","N","N","N","Y","Y"
"490","H","l.59",17,"Monday",1,"N","IC",15,20,59,7,10,"wt.119",421.64450867052,"Antwerpen",322,"g8",334,"mg5","Y","N",127.5838150289,"Oost-Vlaanderen",108,"g8",334,"mg1","N","N","Y",274.61416184971,215,"N","N","N","N","N","N","N","Y","N"
"491","H","l.59",17,"Monday",1,"N","IC",15,20,59,7,10,"wt.119",421.64450867052,"Antwerpen",322,"g8",334,"mg5","Y","N",127.5838150289,"Oost-Vlaanderen",108,"g8",334,"mg1","N","N","Y",274.61416184971,215,"N","N","N","N","N","N","N","Y","N"
"492","H","l.59",17,"Monday",1,"N","IC",15,20,59,7,10,"wt.119",421.64450867052,"Antwerpen",322,"g8",334,"mg5","Y","N",80.534682080925,"Oost-Vlaanderen",85,"g2",343,"mg1","N","N","Y",251.089595375722,203.5,"N","N","N","N","N","N","N","N","N"
"493","L","l.25",17,"Monday",1,"N","IC",14,20,56,9,10,"wt.119",130.41329479769,"Vlaams Brabant",116,"g9",660,"mg1","N","N",421.64450867052,"Antwerpen",322,"g8",334,"mg5","Y","N","Y",276.028901734105,219,"N","N","N","Y","N","N","N","N","N"
"494","H","l.0",17,"Monday",1,"Y","IC",15,20,57,9,10,"wt.119",640.26589595376,"Bruxelles",645,"g9",660,"mg5","Y","N",97.349710982659,"Bruxelles",116,"g9",660,"mg1","N","N","Y",368.807803468209,380.5,"N","N","N","N","N","N","N","Y","N"
"495","L","l.161",17,"Monday",1,"N","S",20,20,57,9,10,"wt.119",102.76589595376,"Bruxelles",78,"g9",660,"mg1","N","N",0,"Bruxelles",22,"g9",660,"mg4","N","N","N",51.38294797688,50,"N","N","N","N","N","N","N","Y","N"
"496","L","l.59",18,"Monday",0,"N","L",13,19,67,5,10,"wt.122",101.87283236994,"Oost-Vlaanderen",100,"g8",334,"mg1","N","N",39.118497109827,"Oost-Vlaanderen",27,"g8",334,"mg4","N","N","N",70.4956647398835,63.5,"N","N","N","N","N","N","N","Y","N"
"497","L","l.34",18,"Monday",0,"N","IC",11,19,64,6,10,"wt.122",421.64450867052,"Antwerpen",322,"g8",334,"mg5","Y","N",49.945086705202,"Limburg",41,"g5",132,"mg3","N","N","Y",235.794797687861,181.5,"N","N","N","N","N","N","N","N","N"
"498","H","l.94",18,"Monday",0,"Y","IC",12,19,62,9,10,"wt.119",634.16473988439,"Bruxelles",641,"g9",660,"mg5","Y","N",57.187861271676,"Hainaut",66,"g1",152,"mg1","N","N","Y",345.676300578033,353.5,"Y","N","N","N","N","N","N","N","N"
"499","H","l.0",18,"Monday",0,"Y","IC",16,19,62,9,10,"wt.119",634.16473988439,"Bruxelles",641,"g9",660,"mg5","Y","N",686.61560693642,"Bruxelles",660,"g9",660,"mg5","Y","N","Y",660.390173410405,650.5,"N","N","N","N","N","N","N","Y","Y"
"500","H","l.37",21,"Monday",3,"N","L",11,14,89,6,10,"wt.113",82.173410404624,"Liège",49,"g6",119,"mg3","N","N",137.38439306358,"Liège",38,"g6",119,"mg3","N","N","N",109.778901734102,43.5,"N","N","N","N","N","N","N","Y","Y"
"501","L","l.94",22,"Monday",4,"N","IC",12,15,85,6,10,"wt.119",57.187861271676,"Hainaut",66,"g1",152,"mg1","N","N",182.09826589595,"Vlaams Brabant",139,"g9",660,"mg1","N","N","N",119.643063583813,102.5,"N","Y","Y","N","N","N","N","N","Y"
"502","L","l.36",23,"Monday",5,"Y","IC",15,15,88,5,10,"wt.113",39.476878612717,"Limburg",41,"g5",132,"mg3","N","N",686.61560693642,"Bruxelles",660,"g9",660,"mg5","Y","N","Y",363.046242774568,350.5,"N","N","N","N","N","N","N","N","N"
"503","L","l.50",0,"Monday",8,"Y","IC",10,16,82,5,10,"wt.119",686.61560693642,"Bruxelles",660,"g9",660,"mg5","Y","N",309.01445086705,"Oost-Vlaanderen",343,"g2",343,"mg5","Y","N","Y",497.815028901735,501.5,"N","N","N","N","N","N","N","N","Y"
"504","H","l.37",0,"Monday",8,"N","IC",11,13,91,6,10,"wt.113",82.173410404624,"Liège",49,"g6",119,"mg3","N","N",269.12427745665,"Liège",119,"g6",119,"mg1","N","N","N",175.648843930637,84,"N","N","N","N","N","N","N","Y","N"
"505","H","l.36",6,"Tuesday",2,"Y","IC",17,13,91,2,10,"wt.113",123.80057803468,"Vlaams Brabant",110,"g3",300,"mg1","N","N",640.26589595376,"Bruxelles",645,"g9",660,"mg5","Y","N","Y",382.03323699422,377.5,"N","N","N","Y","N","N","N","N","N"
"506","H","l.36",7,"Tuesday",1,"Y","IC",21,13,91,2,10,"wt.113",351.9161849711,"Vlaams Brabant",300,"g3",300,"mg5","Y","N",686.61560693642,"Bruxelles",660,"g9",660,"mg5","Y","N","Y",519.26589595376,480,"N","N","N","Y","N","N","N","N","Y"
"507","L","l.25",7,"Tuesday",1,"N","IC",9,14,90,3,10,"wt.113",64.893063583815,"Antwerpen",40,"g8",334,"mg3","N","N",91.372832369942,"Antwerpen",76,"g3",300,"mg1","N","N","N",78.1329479768785,58,"N","N","N","N","N","N","N","N","N"
"508","H","l.94",8,"Tuesday",0,"N","IC",12,15,76,2,10,"wt.119",35.127167630058,"Hainaut",42,"g1",152,"mg3","N","N",66.294797687861,"Hainaut",49,"g1",152,"mg3","N","N","N",50.7109826589595,45.5,"Y","N","Y","N","N","N","N","Y","Y"
"509","L","l.94",8,"Tuesday",0,"Y","IC",20,15,76,2,10,"wt.119",57.187861271676,"Hainaut",66,"g1",152,"mg1","N","N",640.26589595376,"Bruxelles",645,"g9",660,"mg5","Y","N","Y",348.726878612718,355.5,"N","N","Y","N","N","N","N","N","N"
"510","L","l.94",8,"Tuesday",0,"Y","IC",20,15,76,2,10,"wt.119",57.187861271676,"Hainaut",66,"g1",152,"mg1","N","N",640.26589595376,"Bruxelles",645,"g9",660,"mg5","Y","N","Y",348.726878612718,355.5,"N","N","Y","N","N","N","N","N","N"
"511","H","l.50",8,"Tuesday",0,"Y","IC",16,15,75,2,10,"wt.116",309.01445086705,"Oost-Vlaanderen",343,"g2",343,"mg5","Y","N",686.61560693642,"Bruxelles",660,"g9",660,"mg5","Y","N","Y",497.815028901735,501.5,"N","N","N","N","N","N","N","N","Y"
"512","L","l.50",8,"Tuesday",0,"Y","P",15,15,75,2,10,"wt.116",309.01445086705,"Oost-Vlaanderen",343,"g2",343,"mg5","Y","N",634.16473988439,"Bruxelles",641,"g9",660,"mg5","Y","N","Y",471.58959537572,492,"N","N","N","N","N","N","N","N","Y"
"513","H","l.161",8,"Tuesday",0,"Y","IC",15,14,81,1,10,"wt.116",142.60115606936,"Bruxelles",116,"g9",660,"mg1","N","N",202.18786127168,"Namur",71,"g4",114,"mg1","N","N","N",172.39450867052,93.5,"N","N","N","N","N","N","N","N","Y"
"514","L","l.50A",8,"Tuesday",0,"N","IC",10,16,79,3,10,"wt.116",164.41907514451,"West-Vlaanderen",183,"g11",183,"mg1","N","N",309.01445086705,"Oost-Vlaanderen",343,"g2",343,"mg5","Y","N","Y",236.71676300578,263,"N","N","N","N","N","N","N","N","N"
"515","L","l.50A",8,"Tuesday",0,"N","IC",10,15,81,2,10,"wt.113",71.193641618497,"Antwerpen",54,"g8",334,"mg3","N","N",164.41907514451,"West-Vlaanderen",183,"g11",183,"mg1","N","N","N",117.806358381504,118.5,"N","N","N","N","N","N","N","N","N"
"516","L","l.50A",8,"Tuesday",0,"N","IC",10,16,79,3,10,"wt.116",164.41907514451,"West-Vlaanderen",183,"g11",183,"mg1","N","N",309.01445086705,"Oost-Vlaanderen",343,"g2",343,"mg5","Y","N","Y",236.71676300578,263,"N","N","N","N","N","N","N","N","N"
"517","L","l.59",8,"Tuesday",0,"N","IC",10,15,75,2,10,"wt.116",309.01445086705,"Oost-Vlaanderen",343,"g2",343,"mg5","Y","N",80.534682080925,"Oost-Vlaanderen",85,"g2",343,"mg1","N","N","Y",194.774566473988,214,"N","N","N","N","N","N","N","Y","N"
"518","L","l.59",8,"Tuesday",0,"N","IC",10,15,75,2,10,"wt.116",80.534682080925,"Oost-Vlaanderen",85,"g2",343,"mg1","N","N",103.95664739884,"Oost-Vlaanderen",98,"g8",334,"mg1","N","N","N",92.2456647398825,91.5,"N","N","N","N","N","N","N","N","Y"
"520","L","l.52",8,"Tuesday",0,"N","IC",10,15,81,2,10,"wt.113",71.193641618497,"Antwerpen",54,"g8",334,"mg3","N","N",421.64450867052,"Antwerpen",322,"g8",334,"mg5","Y","N","Y",246.419075144508,188,"N","N","N","N","N","N","N","Y","N"
"521","L","l.4",8,"Tuesday",0,"N","IC",10,15,81,2,10,"wt.113",421.64450867052,"Antwerpen",322,"g8",334,"mg5","Y","N",467.98265895954,"Antwerpen",334,"g8",334,"mg5","Y","N","Y",444.81358381503,328,"N","N","N","N","N","N","N","Y","Y"
"522","H","l.36",9,"Tuesday",1,"Y","IC",11,15,73,2,10,"wt.113",351.9161849711,"Vlaams Brabant",300,"g3",300,"mg5","Y","N",640.26589595376,"Bruxelles",645,"g9",660,"mg5","Y","N","Y",496.09104046243,472.5,"N","N","N","Y","N","N","N","N","Y"
"523","L","l.0",9,"Tuesday",1,"Y","IC",11,15,72,3,10,"wt.113",640.26589595376,"Bruxelles",645,"g9",660,"mg5","Y","N",634.16473988439,"Bruxelles",641,"g9",660,"mg5","Y","N","Y",637.215317919075,643,"N","N","N","N","N","N","N","Y","Y"
"524","H","l.36",9,"Tuesday",1,"Y","IC",21,15,73,2,10,"wt.113",351.9161849711,"Vlaams Brabant",300,"g3",300,"mg5","Y","N",640.26589595376,"Bruxelles",645,"g9",660,"mg5","Y","N","Y",496.09104046243,472.5,"N","N","N","Y","N","N","N","N","Y"
"525","L","l.0",9,"Tuesday",1,"Y","IC",21,15,72,3,10,"wt.113",640.26589595376,"Bruxelles",645,"g9",660,"mg5","Y","N",634.16473988439,"Bruxelles",641,"g9",660,"mg5","Y","N","Y",637.215317919075,643,"N","N","N","N","N","N","N","Y","Y"
"526","L","l.161",9,"Tuesday",1,"Y","S",13,15,74,4,10,"wt.113",253.4710982659,"Brabant Wallon",114,"g4",114,"mg1","N","N",142.60115606936,"Bruxelles",116,"g9",660,"mg1","N","N","N",198.03612716763,115,"N","N","N","N","N","N","N","N","Y"
"527","L","l.53",10,"Tuesday",2,"N","L",11,16,64,3,10,"wt.113",43.942196531792,"Vlaams Brabant",26,"g3",300,"mg4","N","N",351.9161849711,"Vlaams Brabant",300,"g3",300,"mg5","Y","N","Y",197.929190751446,163,"N","Y","N","Y","N","N","N","Y","N"
"528","L","l.53",10,"Tuesday",2,"N","L",11,17,62,2,10,"wt.113",306.52312138728,"Antwerpen",253,"g3",300,"mg5","Y","N",43.942196531792,"Vlaams Brabant",26,"g3",300,"mg4","N","N","Y",175.232658959536,139.5,"N","Y","N","N","N","N","N","Y","N"
"529","L","l.53",13,"Tuesday",5,"N","IC",13,19,50,6,10,"wt.116",36.341040462428,"Vlaams Brabant",39,"g8",334,"mg3","N","N",101.87283236994,"Oost-Vlaanderen",100,"g8",334,"mg1","N","N","N",69.106936416184,69.5,"N","N","N","Y","N","N","N","Y","N"
"530","L","l.59",13,"Tuesday",5,"N","IC",10,19,50,5,10,"wt.116",71.193641618497,"Antwerpen",54,"g8",334,"mg3","N","N",48.208092485549,"Oost-Vlaanderen",41,"g8",334,"mg3","N","N","N",59.700867052023,47.5,"N","N","N","N","N","N","N","Y","Y"
"531","L","l.59",13,"Tuesday",5,"N","IC",10,19,48,1,10,"wt.116",48.208092485549,"Oost-Vlaanderen",41,"g8",334,"mg3","N","N",127.5838150289,"Oost-Vlaanderen",108,"g8",334,"mg1","N","N","N",87.8959537572245,74.5,"N","N","N","N","N","N","N","Y","N"
"532","L","l.50A",14,"Tuesday",4,"N","IC",7,19,45,5,10,"wt.119",309.01445086705,"Oost-Vlaanderen",343,"g2",343,"mg5","Y","N",164.41907514451,"West-Vlaanderen",183,"g11",183,"mg1","N","N","Y",236.71676300578,263,"N","N","N","N","N","N","N","N","N"
"533","L","l.36",15,"Tuesday",3,"Y","IC",21,19,51,9,10,"wt.119",640.26589595376,"Bruxelles",645,"g9",660,"mg5","Y","N",50.841040462428,"Liège",32,"g6",119,"mg3","N","N","Y",345.553468208094,338.5,"N","N","N","N","N","N","N","N","N"
"534","L","l.50A",16,"Tuesday",2,"N","IC",10,20,46,6,10,"wt.116",309.01445086705,"Oost-Vlaanderen",343,"g2",343,"mg5","Y","N",164.41907514451,"West-Vlaanderen",183,"g11",183,"mg1","N","N","Y",236.71676300578,263,"N","N","N","N","N","N","N","N","N"
"535","L","l.59",16,"Tuesday",2,"N","IC",10,20,46,6,10,"wt.116",80.534682080925,"Oost-Vlaanderen",85,"g2",343,"mg1","N","N",309.01445086705,"Oost-Vlaanderen",343,"g2",343,"mg5","Y","N","Y",194.774566473988,214,"N","N","N","N","N","N","N","Y","N"
"536","L","l.59",16,"Tuesday",2,"N","IC",10,19,48,3,10,"wt.119",127.5838150289,"Oost-Vlaanderen",108,"g8",334,"mg1","N","N",103.95664739884,"Oost-Vlaanderen",98,"g8",334,"mg1","N","N","N",115.77023121387,103,"N","N","N","N","N","N","N","Y","Y"
"537","L","l.50",16,"Tuesday",2,"Y","IC",16,19,51,9,10,"wt.119",686.61560693642,"Bruxelles",660,"g9",660,"mg5","Y","N",309.01445086705,"Oost-Vlaanderen",343,"g2",343,"mg5","Y","N","Y",497.815028901735,501.5,"N","N","N","N","N","N","N","N","Y"
"538","L","l.0",17,"Tuesday",1,"Y","S",20,19,58,8,10,"wt.119",640.26589595376,"Bruxelles",645,"g9",660,"mg5","Y","N",634.16473988439,"Bruxelles",641,"g9",660,"mg5","Y","N","Y",637.215317919075,643,"N","N","N","N","N","N","N","Y","Y"
"539","L","l.0",17,"Tuesday",1,"Y","S",20,19,58,8,10,"wt.119",640.26589595376,"Bruxelles",645,"g9",660,"mg5","Y","N",21.736994219653,"Vlaams Brabant",16,"g1",152,"mg4","N","N","Y",331.001445086706,330.5,"N","Y","N","N","N","N","N","N","N"
"540","H","l.25",17,"Tuesday",1,"Y","IC",11,19,58,8,10,"wt.119",640.26589595376,"Bruxelles",645,"g9",660,"mg5","Y","N",306.52312138728,"Antwerpen",253,"g3",300,"mg5","Y","N","Y",473.39450867052,449,"N","N","N","N","N","N","N","N","Y"
"541","L","l.25",17,"Tuesday",1,"N","S",28,18,56,5,10,"wt.119",306.52312138728,"Antwerpen",253,"g3",300,"mg5","Y","N",91.372832369942,"Antwerpen",76,"g3",300,"mg1","N","N","Y",198.947976878611,164.5,"N","N","N","N","N","N","N","Y","N"
"542","L","l.25",17,"Tuesday",1,"N","S",28,18,56,5,10,"wt.119",306.52312138728,"Antwerpen",253,"g3",300,"mg5","Y","N",91.372832369942,"Antwerpen",76,"g3",300,"mg1","N","N","Y",198.947976878611,164.5,"N","N","N","N","N","N","N","Y","N"
"543","H","l.161",18,"Tuesday",0,"Y","S",8,18,65,7,10,"wt.116",142.60115606936,"Bruxelles",116,"g9",660,"mg1","N","N",30.734104046243,"Brabant Wallon",34,"g4",114,"mg3","N","N","N",86.6676300578015,75,"N","N","N","N","N","N","N","N","N"
"544","H","l.50",18,"Tuesday",0,"Y","IC",11,18,65,7,10,"wt.116",634.16473988439,"Bruxelles",641,"g9",660,"mg5","Y","N",309.01445086705,"Oost-Vlaanderen",343,"g2",343,"mg5","Y","N","Y",471.58959537572,492,"N","N","N","N","N","N","N","N","Y"
"545","H","l.50",18,"Tuesday",0,"Y","IC",11,18,65,7,10,"wt.116",634.16473988439,"Bruxelles",641,"g9",660,"mg5","Y","N",309.01445086705,"Oost-Vlaanderen",343,"g2",343,"mg5","Y","N","Y",471.58959537572,492,"N","N","N","N","N","N","N","N","Y"
"546","L","l.25",18,"Tuesday",0,"N","IC",8,18,62,4,10,"wt.116",421.64450867052,"Antwerpen",322,"g8",334,"mg5","Y","N",306.52312138728,"Antwerpen",253,"g3",300,"mg5","Y","N","Y",364.0838150289,287.5,"N","N","N","N","N","N","N","N","Y"
"547","L","l.50",18,"Tuesday",0,"N","L",28,17,62,4,10,"wt.116",309.01445086705,"Oost-Vlaanderen",343,"g2",343,"mg5","Y","N",64.190751445087,"Oost-Vlaanderen",69,"g2",343,"mg1","N","N","Y",186.602601156069,206,"N","N","N","N","N","N","N","Y","N"
"548","L","l.4",19,"Tuesday",1,"N","IC",11,17,68,3,10,"wt.116",421.64450867052,"Antwerpen",322,"g8",334,"mg5","Y","N",467.98265895954,"Antwerpen",334,"g8",334,"mg5","Y","N","Y",444.81358381503,328,"N","N","N","N","N","N","N","Y","Y"
"549","L","l.50",21,"Tuesday",3,"Y","IC",16,16,80,4,10,"wt.116",686.61560693642,"Bruxelles",660,"g9",660,"mg5","Y","N",164.41907514451,"West-Vlaanderen",183,"g11",183,"mg1","N","N","Y",425.517341040465,421.5,"N","N","N","N","N","N","N","N","N"
